out_name,units,ag,long_name,standard_name,priority,comment,frequency,cell_methods,positive
abs550aer,1,i,Ambient Aerosol Absorption Optical Thickness at 550 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),mon,area: time: mean,
abs550aer,1,i,Ambient Aerosol Absorption Optical Thickness at 550 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),day,area: time: mean,
abs550aer,1,i,Ambient Aerosol Absorption Optical Thickness at 550 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),1hr,area: mean time: point,
asy550aer,1,i,Aerosol Asymmetry Parameter at 550 nm,asymmetry_factor_of_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),mon,area: time: mean,
asy550aer,1,i,Aerosol Asymmetry Parameter at 550 nm,asymmetry_factor_of_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),day,area: time: mean,
asy550aer,1,i,Aerosol Asymmetry Parameter at 550 nm,asymmetry_factor_of_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),1hr,area: mean time: point,
od550aer,1,i,Ambient Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),mon,area: time: mean,
od550aer,1,i,Ambient Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),day,area: time: mean,
od550aer,1,i,Ambient Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),1hr,area: mean time: point,
od550bc,1,i,Black Carbon Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_black_carbon_ambient_aerosol,CORE,1hr optional (considered for Tier1),mon,area: time: mean,
od550bc,1,i,Black Carbon Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_black_carbon_ambient_aerosol,CORE,1hr optional (considered for Tier1),day,area: time: mean,
od550bc,1,i,Black Carbon Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_black_carbon_ambient_aerosol,CORE,1hr optional (considered for Tier1),1hr,area: mean time: point,
od550dust,1,i,Dust Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_dust_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),mon,area: time: mean,
od550dust,1,i,Dust Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_dust_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),day,area: time: mean,
od550dust,1,i,Dust Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_dust_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),1hr,area: mean time: point,
od550nh4,1,i,Ammonium Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_ammonium_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),mon,area: time: mean,
od550nh4,1,i,Ammonium Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_ammonium_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),day,area: time: mean,
od550nh4,1,i,Ammonium Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_ammonium_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),1hr,area: mean time: point,
od550no3,1,i,Nitrate Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_nitrate_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),mon,area: time: mean,
od550no3,1,i,Nitrate Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_nitrate_ambient_aerosol_particles,CORE,1hr optional (considered for Tier1),day,area: time: mean,
