out_name,frequency,units,long_name,standard_name,cell_methods,priority,comment,component
tas,mon,K,Near-Surface Air Temperature,air_temperature,area: time: mean,CORE,,atmosphere
tas,day,K,Near-Surface Air Temperature,air_temperature,area: time: mean,CORE,,atmosphere
tas,1hr,K,Near-Surface Air Temperature,air_temperature,area: mean time: point,CORE,,atmosphere
tasmax,mon,K,Daily Maximum Near-Surface Air Temperature,air_temperature,area: mean time: maximum within days time: mean over days,CORE,maximum from all integrated time steps per day,atmosphere
tasmax,day,K,Daily Maximum Near-Surface Air Temperature,air_temperature,area: mean time: maximum,CORE,maximum from all integrated time steps per day,atmosphere
tasmin,mon,K,Daily Minimum Near-Surface Air Temperature,air_temperature,area: mean time: minimum within days time: mean over days,CORE,minimum from all integrated time steps per day,atmosphere
tasmin,day,K,Daily Minimum Near-Surface Air Temperature,air_temperature,area: mean time: minimum,CORE,minimum from all integrated time steps per day,atmosphere
pr,mon,kg m-2 s-1,Precipitation,precipitation_flux,area: time: mean,CORE,,atmosphere
pr,day,kg m-2 s-1,Precipitation,precipitation_flux,area: time: mean,CORE,,atmosphere
pr,1hr,kg m-2 s-1,Precipitation,precipitation_flux,area: time: mean,CORE,,atmosphere
evspsbl,mon,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,area: time: mean,CORE,,atmosphere
evspsbl,day,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,area: time: mean,CORE,,atmosphere
evspsbl,1hr,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,area: time: mean,CORE,,atmosphere
huss,mon,1,Near-Surface Specific Humidity,specific_humidity,area: time: mean,CORE,,atmosphere
huss,day,1,Near-Surface Specific Humidity,specific_humidity,area: time: mean,CORE,,atmosphere
huss,1hr,1,Near-Surface Specific Humidity,specific_humidity,area: mean time: point,CORE,,atmosphere
hurs,mon,%,Near-Surface Relative Humidity,relative_humidity,area: time: mean,CORE,,atmosphere
hurs,day,%,Near-Surface Relative Humidity,relative_humidity,area: time: mean,CORE,,atmosphere
hurs,1hr,%,Near-Surface Relative Humidity,relative_humidity,area: mean time: point,CORE,,atmosphere
ps,mon,Pa,Surface Air Pressure,surface_air_pressure,area: time: mean,CORE,,atmosphere
ps,day,Pa,Surface Air Pressure,surface_air_pressure,area: time: mean,CORE,,atmosphere
ps,1hr,Pa,Surface Air Pressure,surface_air_pressure,area: mean time: point,CORE,,atmosphere
psl,mon,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,area: time: mean,CORE,,atmosphere
psl,day,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,area: time: mean,CORE,,atmosphere
psl,1hr,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,area: mean time: point,CORE,,atmosphere
sfcWind,mon,m s-1,Near-Surface Wind Speed,wind_speed,area: time: mean,CORE,,atmosphere
sfcWind,day,m s-1,Near-Surface Wind Speed,wind_speed,area: time: mean,CORE,,atmosphere
sfcWind,1hr,m s-1,Near-Surface Wind Speed,wind_speed,area: mean time: point,CORE,,atmosphere
uas,mon,m s-1,Eastward Near-Surface Wind,eastward_wind,area: time: mean,CORE,,atmosphere
uas,day,m s-1,Eastward Near-Surface Wind,eastward_wind,area: time: mean,CORE,,atmosphere
uas,1hr,m s-1,Eastward Near-Surface Wind,eastward_wind,area: mean time: point,CORE,,atmosphere
vas,mon,m s-1,Northward Near-Surface Wind,northward_wind,area: time: mean,CORE,,atmosphere
vas,day,m s-1,Northward Near-Surface Wind,northward_wind,area: time: mean,CORE,,atmosphere
vas,1hr,m s-1,Northward Near-Surface Wind,northward_wind,area: mean time: point,CORE,,atmosphere
clt,mon,%,Total Cloud Cover Percentage,cloud_area_fraction,area: time: mean,CORE,,atmosphere
clt,day,%,Total Cloud Cover Percentage,cloud_area_fraction,area: time: mean,CORE,,atmosphere
clt,1hr,%,Total Cloud Cover Percentage,cloud_area_fraction,area: time: mean,CORE,,atmosphere
rsds,mon,W m-2,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,area: time: mean,CORE,,atmosphere
rsds,day,W m-2,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,area: time: mean,CORE,,atmosphere
rsds,1hr,W m-2,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,area: time: mean,CORE,,atmosphere
rlds,mon,W m-2,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,area: time: mean,CORE,,atmosphere
rlds,day,W m-2,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,area: time: mean,CORE,,atmosphere
rlds,1hr,W m-2,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,area: time: mean,CORE,,atmosphere
orog,fx,m,Surface Altitude,surface_altitude,area: mean,CORE,,atmosphere
sftlf,fx,%,Percentage of the Grid Cell Occupied by Land,land_area_fraction,area: mean,CORE,,atmosphere
ts,mon,K,Surface Temperature,surface_temperature,area: time: mean,TIER1,,atmosphere
ts,day,K,Surface Temperature,surface_temperature,area: time: mean,TIER1,,atmosphere
ts,1hr,K,Surface Temperature,surface_temperature,area: mean time: point,TIER1,,atmosphere
tsl,mon,K,Temperature of Soil,soil_temperature,area: mean where land time: mean,TIER1,Temperature of each soil layer (3D variable). Reported as missing for grid cells with no land.,atmosphere
tsl,day,K,Temperature of Soil,soil_temperature,area: mean where land time: mean,TIER1,Temperature of each soil layer (3D variable). Reported as missing for grid cells with no land.,atmosphere
tsl,6hr,K,Temperature of Soil,soil_temperature,area: mean where land time: point,TIER1,Temperature of each soil layer (3D variable). Reported as missing for grid cells with no land.,atmosphere
prc,mon,kg m-2 s-1,Convective Precipitation,convective_precipitation_flux,area: time: mean,TIER1,,atmosphere
prc,day,kg m-2 s-1,Convective Precipitation,convective_precipitation_flux,area: time: mean,TIER1,,atmosphere
prc,1hr,kg m-2 s-1,Convective Precipitation,convective_precipitation_flux,area: time: mean,TIER1,,atmosphere
