out_name,frequency,units,long_name,standard_name,cell_methods,priority,comment
abs550aer,mon,1,Ambient Aerosol Absorption Optical Thickness at 550 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,area: time: mean,CORE,1hr optional (considered for Tier1)
abs550aer,day,1,Ambient Aerosol Absorption Optical Thickness at 550 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,area: time: mean,CORE,1hr optional (considered for Tier1)
abs550aer,1hr,1,Ambient Aerosol Absorption Optical Thickness at 550 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,area: mean time: point,CORE,1hr optional (considered for Tier1)
asy550aer,mon,1,Aerosol Asymmetry Parameter at 550 nm,asymmetry_factor_of_ambient_aerosol_particles,area: time: mean,CORE,1hr optional (considered for Tier1)
asy550aer,day,1,Aerosol Asymmetry Parameter at 550 nm,asymmetry_factor_of_ambient_aerosol_particles,area: time: mean,CORE,1hr optional (considered for Tier1)
asy550aer,1hr,1,Aerosol Asymmetry Parameter at 550 nm,asymmetry_factor_of_ambient_aerosol_particles,area: mean time: point,CORE,1hr optional (considered for Tier1)
od550aer,mon,1,Ambient Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,area: time: mean,CORE,1hr optional (considered for Tier1)
od550aer,day,1,Ambient Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,area: time: mean,CORE,1hr optional (considered for Tier1)
od550aer,1hr,1,Ambient Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,area: mean time: point,CORE,1hr optional (considered for Tier1)
od550bc,mon,1,Black Carbon Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_black_carbon_ambient_aerosol,area: time: mean,CORE,1hr optional (considered for Tier1)
od550bc,day,1,Black Carbon Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_black_carbon_ambient_aerosol,area: time: mean,CORE,1hr optional (considered for Tier1)
od550bc,1hr,1,Black Carbon Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_black_carbon_ambient_aerosol,area: mean time: point,CORE,1hr optional (considered for Tier1)
od550dust,mon,1,Dust Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_dust_ambient_aerosol_particles,area: time: mean,CORE,1hr optional (considered for Tier1)
od550dust,day,1,Dust Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_dust_ambient_aerosol_particles,area: time: mean,CORE,1hr optional (considered for Tier1)
od550dust,1hr,1,Dust Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_dust_ambient_aerosol_particles,area: mean time: point,CORE,1hr optional (considered for Tier1)
od550nh4,mon,1,Ammonium Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_ammonium_ambient_aerosol_particles,area: time: mean,CORE,1hr optional (considered for Tier1)
od550nh4,day,1,Ammonium Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_ammonium_ambient_aerosol_particles,area: time: mean,CORE,1hr optional (considered for Tier1)
od550nh4,1hr,1,Ammonium Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_ammonium_ambient_aerosol_particles,area: mean time: point,CORE,1hr optional (considered for Tier1)
od550no3,mon,1,Nitrate Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_nitrate_ambient_aerosol_particles,area: time: mean,CORE,1hr optional (considered for Tier1)
od550no3,day,1,Nitrate Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_nitrate_ambient_aerosol_particles,area: time: mean,CORE,1hr optional (considered for Tier1)
od550no3,1hr,1,Nitrate Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_nitrate_ambient_aerosol_particles,area: mean time: point,CORE,1hr optional (considered for Tier1)
od550oa,mon,1,Organic Matter Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_particulate_organic_matter_ambient_aerosol_particles,area: time: mean,CORE,1hr optional (considered for Tier1)
od550oa,day,1,Organic Matter Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_particulate_organic_matter_ambient_aerosol_particles,area: time: mean,CORE,1hr optional (considered for Tier1)
od550oa,1hr,1,Organic Matter Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_particulate_organic_matter_ambient_aerosol_particles,area: mean time: point,CORE,1hr optional (considered for Tier1)
od550so4,mon,1,Sulfate Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_sulfate_ambient_aerosol_particles,area: time: mean,CORE,1hr optional (considered for Tier1)
od550so4,day,1,Sulfate Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_sulfate_ambient_aerosol_particles,area: time: mean,CORE,1hr optional (considered for Tier1)
od550so4,1hr,1,Sulfate Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_sulfate_ambient_aerosol_particles,area: mean time: point,CORE,1hr optional (considered for Tier1)
od550ss,mon,1,Sea-Salt Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_sea_salt_ambient_aerosol_particles,area: time: mean,CORE,1hr optional (considered for Tier1)
od550ss,day,1,Sea-Salt Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_sea_salt_ambient_aerosol_particles,area: time: mean,CORE,1hr optional (considered for Tier1)
od550ss,1hr,1,Sea-Salt Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_sea_salt_ambient_aerosol_particles,area: mean time: point,CORE,1hr optional (considered for Tier1)
ssa550aer,mon,1,Aerosol Single Scattering Albedo at 550 nm,single_scattering_albedo_in_air_due_to_ambient_aerosol_particles,area: time: mean,CORE,1hr optional (considered for Tier1)
ssa550aer,day,1,Aerosol Single Scattering Albedo at 550 nm,single_scattering_albedo_in_air_due_to_ambient_aerosol_particles,area: time: mean,CORE,1hr optional (considered for Tier1)
ssa550aer,1hr,1,Aerosol Single Scattering Albedo at 550 nm,single_scattering_albedo_in_air_due_to_ambient_aerosol_particles,area: mean time: point,CORE,1hr optional (considered for Tier1)
toz,mon,m,Total Column Ozone,equivalent_thickness_at_stp_of_atmosphere_ozone_content,area: time: mean,CORE,
toz,day,m,Total Column Ozone,equivalent_thickness_at_stp_of_atmosphere_ozone_content,area: time: mean,CORE,
abs1000aer,mon,1,Ambient Aerosol Absorption Optical Thickness at 1000 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,area: time: mean,TIER1,
abs1000aer,day,1,Ambient Aerosol Absorption Optical Thickness at 1000 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,area: time: mean,TIER1,
abs1000aer,3hr,1,Ambient Aerosol Absorption Optical Thickness at 1000 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,area: mean time: point,TIER1,
abs350aer,mon,1,Ambient Aerosol Absorption Optical Thickness at 350 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,area: time: mean,TIER1,
abs350aer,day,1,Ambient Aerosol Absorption Optical Thickness at 350 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,area: time: mean,TIER1,
abs350aer,3hr,1,Ambient Aerosol Absorption Optical Thickness at 350 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,area: mean time: point,TIER1,
abs440aer,mon,1,Ambient Aerosol Absorption Optical Thickness at 440 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,area: time: mean,TIER1,
abs440aer,day,1,Ambient Aerosol Absorption Optical Thickness at 440 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,area: time: mean,TIER1,
abs440aer,3hr,1,Ambient Aerosol Absorption Optical Thickness at 440 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,area: mean time: point,TIER1,
abs870aer,mon,1,Ambient Aerosol Absorption Optical Thickness at 870 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,area: time: mean,TIER1,
abs870aer,day,1,Ambient Aerosol Absorption Optical Thickness at 870 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,area: time: mean,TIER1,
abs870aer,3hr,1,Ambient Aerosol Absorption Optical Thickness at 870 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,area: mean time: point,TIER1,
asy1000aer,mon,1,Aerosol Asymmetry Parameter at 1000 nm,asymmetry_factor_of_ambient_aerosol_particles,area: time: mean,TIER1,
asy1000aer,day,1,Aerosol Asymmetry Parameter at 1000 nm,asymmetry_factor_of_ambient_aerosol_particles,area: time: mean,TIER1,
asy1000aer,3hr,1,Aerosol Asymmetry Parameter at 1000 nm,asymmetry_factor_of_ambient_aerosol_particles,area: mean time: point,TIER1,
asy350aer,mon,1,Aerosol Asymmetry Parameter at 350 nm,asymmetry_factor_of_ambient_aerosol_particles,area: time: mean,TIER1,
asy350aer,day,1,Aerosol Asymmetry Parameter at 350 nm,asymmetry_factor_of_ambient_aerosol_particles,area: time: mean,TIER1,
asy350aer,3hr,1,Aerosol Asymmetry Parameter at 350 nm,asymmetry_factor_of_ambient_aerosol_particles,area: mean time: point,TIER1,
asy440aer,mon,1,Aerosol Asymmetry Parameter at 440 nm,asymmetry_factor_of_ambient_aerosol_particles,area: time: mean,TIER1,
asy440aer,day,1,Aerosol Asymmetry Parameter at 440 nm,asymmetry_factor_of_ambient_aerosol_particles,area: time: mean,TIER1,
asy440aer,3hr,1,Aerosol Asymmetry Parameter at 440 nm,asymmetry_factor_of_ambient_aerosol_particles,area: mean time: point,TIER1,
asy870aer,mon,1,Aerosol Asymmetry Parameter at 870 nm,asymmetry_factor_of_ambient_aerosol_particles,area: time: mean,TIER1,
asy870aer,day,1,Aerosol Asymmetry Parameter at 870 nm,asymmetry_factor_of_ambient_aerosol_particles,area: time: mean,TIER1,
asy870aer,3hr,1,Aerosol Asymmetry Parameter at 870 nm,asymmetry_factor_of_ambient_aerosol_particles,area: mean time: point,TIER1,
drybc,mon,kg m-2 s-1,Dry Deposition Rate of Black Carbon,minus_tendency_of_atmosphere_mass_content_of_elemental_carbon_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,
drybc,day,kg m-2 s-1,Dry Deposition Rate of Black Carbon,minus_tendency_of_atmosphere_mass_content_of_elemental_carbon_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,
drybc,1hr,kg m-2 s-1,Dry Deposition Rate of Black Carbon,minus_tendency_of_atmosphere_mass_content_of_elemental_carbon_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,
drydust,mon,kg m-2 s-1,Dry Deposition Rate of Dust,minus_tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,
drydust,day,kg m-2 s-1,Dry Deposition Rate of Dust,minus_tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,
