out_name,frequency,units,long_name,standard_name,cell_methods,priority,comment
tas,mon,K,Near-Surface Air Temperature,air_temperature,area: time: mean,CORE,
tas,day,K,Near-Surface Air Temperature,air_temperature,area: time: mean,CORE,
tas,1hr,K,Near-Surface Air Temperature,air_temperature,area: mean time: point,CORE,
tasmax,mon,K,Daily Maximum Near-Surface Air Temperature,air_temperature,area: mean time: maximum within days time: mean over days,CORE,maximum from all integrated time steps per day
tasmax,day,K,Daily Maximum Near-Surface Air Temperature,air_temperature,area: mean time: maximum,CORE,maximum from all integrated time steps per day
tasmin,mon,K,Daily Minimum Near-Surface Air Temperature,air_temperature,area: mean time: minimum within days time: mean over days,CORE,minimum from all integrated time steps per day
tasmin,day,K,Daily Minimum Near-Surface Air Temperature,air_temperature,area: mean time: minimum,CORE,minimum from all integrated time steps per day
pr,mon,kg m-2 s-1,Precipitation,precipitation_flux,area: time: mean,CORE,
pr,day,kg m-2 s-1,Precipitation,precipitation_flux,area: time: mean,CORE,
pr,1hr,kg m-2 s-1,Precipitation,precipitation_flux,area: time: mean,CORE,
evspsbl,mon,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,area: time: mean,CORE,
evspsbl,day,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,area: time: mean,CORE,
evspsbl,1hr,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,area: time: mean,CORE,
huss,mon,1,Near-Surface Specific Humidity,specific_humidity,area: time: mean,CORE,
huss,day,1,Near-Surface Specific Humidity,specific_humidity,area: time: mean,CORE,
huss,1hr,1,Near-Surface Specific Humidity,specific_humidity,area: mean time: point,CORE,
hurs,mon,%,Near-Surface Relative Humidity,relative_humidity,area: time: mean,CORE,
hurs,day,%,Near-Surface Relative Humidity,relative_humidity,area: time: mean,CORE,
hurs,1hr,%,Near-Surface Relative Humidity,relative_humidity,area: mean time: point,CORE,
ps,mon,Pa,Surface Air Pressure,surface_air_pressure,area: time: mean,CORE,
ps,day,Pa,Surface Air Pressure,surface_air_pressure,area: time: mean,CORE,
ps,1hr,Pa,Surface Air Pressure,surface_air_pressure,area: mean time: point,CORE,
psl,mon,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,area: time: mean,CORE,
psl,day,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,area: time: mean,CORE,
psl,1hr,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,area: mean time: point,CORE,
sfcWind,mon,m s-1,Near-Surface Wind Speed,wind_speed,area: time: mean,CORE,
sfcWind,day,m s-1,Near-Surface Wind Speed,wind_speed,area: time: mean,CORE,
sfcWind,1hr,m s-1,Near-Surface Wind Speed,wind_speed,area: mean time: point,CORE,
uas,mon,m s-1,Eastward Near-Surface Wind,eastward_wind,area: time: mean,CORE,
uas,day,m s-1,Eastward Near-Surface Wind,eastward_wind,area: time: mean,CORE,
