out_name,frequency,units,long_name,standard_name,priority,comment,cell_methods,cell_measures,dimensions,type,positive,valid_min,valid_max,ok_min_mean_abs,ok_max_mean_abs
thetao,mon,degC,Sea Water Potential Temperature,sea_water_potential_temperature,CORE,"3D, potential temperature",area: time: mean,area: areacella,longitude latitude time,real,,,,,
so,mon,0.001,Sea Water Salinity,sea_water_salinity,CORE,"3D, practical salinity",area: time: mean,area: areacella,longitude latitude time,real,,,,,
uo,mon,m/s,Sea Water X Velocity,sea_water_x_velocity,CORE,"3D, positive: east",area: time: mean,area: areacella,longitude latitude time,real,,,,,
vo,mon,m/s,Sea Water Y Velocity,sea_water_y_velocity,CORE,"3D, postive: north",area: time: mean,area: areacella,longitude latitude time,real,,,,,
zos,mon,m,Sea Surface Height Above Geoid,sea_surface_height_above_geoid,CORE,"2D, the GCM zostoga variable should be added in the monthly file",area: time: mean,area: areacella,longitude latitude time,real,,,,,
zos,day,m,Sea Surface Height Above Geoid,sea_surface_height_above_geoid,CORE,"2D, the GCM zostoga variable should be added in the monthly file",area: time: mean,area: areacella,longitude latitude time,real,,,,,
tos,mon,degC,Sea Surface Temperature,sea_surface_temperature,CORE,2D,area: time: mean,area: areacella,longitude latitude time,real,,,,,
tos,day,degC,Sea Surface Temperature,sea_surface_temperature,CORE,2D,area: time: mean,area: areacella,longitude latitude time,real,,,,,
sos,mon,0.001,Sea Surface Salinity,sea_surface_salinity,CORE,2D,area: time: mean,area: areacella,longitude latitude time,real,,,,,
sos,day,0.001,Sea Surface Salinity,sea_surface_salinity,CORE,2D,area: time: mean,area: areacella,longitude latitude time,real,,,,,
mlotst,mon,m,Ocean Mixed Layer Thickness Defined by Sigma T,ocean_mixed_layer_thickness_defined_by_sigma_t,CORE,"2D, positive: down, Med-CORDEX: Use a criteria of 0.011 or 0.01 kg/m³ with a 10m-depth reference",area: time: mean,area: areacella,longitude latitude time,real,,,,,
mlotst,day,m,Ocean Mixed Layer Thickness Defined by Sigma T,ocean_mixed_layer_thickness_defined_by_sigma_t,CORE,"2D, positive: down, Med-CORDEX: Use a criteria of 0.011 or 0.01 kg/m³ with a 10m-depth reference",area: time: mean,area: areacella,longitude latitude time,real,,,,,
areacello,fx,m²,Grid-Cell Area for Ocean Variables,cell_area,CORE,Horizontal area of ocean grid cells,area: mean,area: areacella,longitude latitude,real,,,,,
deptho,fx,m,Sea Floor Depth Below Geoid,sea_floor_depth_below_geoid,CORE,,area: mean,area: areacella,longitude latitude,real,,,,,
sftof,fx,%,Sea Area Percentage,sea_area_fraction,CORE,Percentage of horizontal area occupied by ocean.,area: mean,area: areacella,longitude latitude,real,,,,,
thkcello,fx,m,Ocean Model Cell Thickness,cell_thickness,CORE,,area: mean,area: areacella,longitude latitude,real,,,,,
